 4, 4, 1,-4.35314E-01, 1.80587E-05,-4.24956E-01, 1
 5, 5, 1,-6.73106E-02, 4.56519E-07,-6.75662E-02, 1
 6, 6, 1,-9.98199E-02, 9.91442E-07,-9.95712E-02, 1
 9, 9, 1,-2.67660E-01, 6.87821E-06,-2.62263E-01, 1
10,10, 1,-8.09999E-02, 6.40201E-07,-8.00126E-02, 1
13,13, 1,-1.20966E-01, 1.44045E-06,-1.20019E-01, 1
 4, 4, 2, 3.55107E-02, 1.20216E-07, 3.46721E-02, 1
 5, 5, 2,-1.44857E-02, 2.02332E-08,-1.42243E-02, 1
 6, 6, 2, 2.43270E-02, 5.96844E-08, 2.44304E-02, 1
 9, 9, 2,-1.46633E-01, 2.17795E-06,-1.47579E-01, 1
10,10, 2,-5.16362E-02, 2.65881E-07,-5.15637E-02, 1
13,13, 2,-5.17456E-02, 2.65881E-07,-5.15637E-02, 1
 5, 1, 3,-6.89648E-01, 5.06718E-05,-7.11841E-01, 1
 4, 3, 3, 1.79893E-01, 3.19370E-06, 1.78709E-01, 1
 6,12, 3, 7.28827E-02, 5.20687E-07, 7.21587E-02, 1
 7, 8, 3, 2.09196E-01, 4.36483E-06, 2.08922E-01, 1
 9,14, 3, 6.75975E-02, 4.63905E-07, 6.81105E-02, 1
10,11, 3,-5.83851E-02, 3.39731E-07,-5.82865E-02, 1
13,14, 3, 6.54809E-02, 4.32003E-07, 6.57269E-02, 1
 5, 1, 4, 1.36392E-02, 1.91286E-08, 1.38306E-02, 1
 4, 3, 4,-3.46935E-02, 1.20521E-07,-3.47161E-02, 1
 6,12, 4, 2.06555E-02, 4.21276E-08, 2.05250E-02, 1
 7, 8, 4,-1.65506E-01, 2.86053E-06,-1.69131E-01, 1
 9,14, 4, 3.78463E-02, 1.43575E-07, 3.78913E-02, 1
10,11, 4,-5.34220E-03, 2.77177E-09,-5.26476E-03, 1
13,14, 4, 9.51674E-03, 8.86792E-09, 9.41696E-03, 1
 4, 4, 1,-4.03444E-01, 1.65214E-05,-4.06466E-01, 2
 5, 5, 1,-6.43583E-02, 4.17657E-07,-6.46264E-02, 2
 6, 6, 1,-9.45624E-02, 9.07043E-07,-9.52388E-02, 2
 9, 9, 1,-2.48870E-01, 6.29269E-06,-2.50852E-01, 2
10,10, 1,-7.64288E-02, 5.85703E-07,-7.65312E-02, 2
13,13, 1,-1.13565E-01, 1.31783E-06,-1.14797E-01, 2
 4, 4, 2, 3.34657E-02, 1.09982E-07, 3.31636E-02, 2
 5, 5, 2,-1.34719E-02, 1.85109E-08,-1.36055E-02, 2
 6, 6, 2, 3.12018E-02, 9.64135E-08, 3.10505E-02, 2
 9, 9, 2,-1.40140E-01, 1.99255E-06,-1.41158E-01, 2
10,10, 2,-4.90872E-02, 2.43247E-07,-4.93201E-02, 2
13,13, 2,-4.90738E-02, 2.43247E-07,-4.93201E-02, 2
 5, 1, 3,-6.76982E-01, 4.59160E-05,-6.77613E-01, 2
 4, 3, 3, 1.68243E-01, 2.91048E-06, 1.70601E-01, 2
 6,12, 3, 7.04416E-02, 4.81610E-07, 6.93981E-02, 2
 7, 8, 3, 2.00498E-01, 3.99326E-06, 1.99832E-01, 2
 9,14, 3, 6.29743E-02, 4.07893E-07, 6.38665E-02, 2
10,11, 3,-5.75306E-02, 3.25784E-07,-5.70775E-02, 2
13,14, 3, 6.38653E-02, 4.10583E-07, 6.40768E-02, 2
 5, 1, 4, 4.85871E-04, 2.39102E-11, 4.88981E-04, 2
 4, 3, 4,-3.40393E-02, 1.16463E-07,-3.41267E-02, 2
 6,12, 4, 2.04897E-02, 4.24093E-08, 2.05935E-02, 2
 7, 8, 4,-1.09465E-01, 1.18439E-06,-1.08830E-01, 2
 9,14, 4, 3.11407E-02, 9.60662E-08, 3.09945E-02, 2
10,11, 4,-1.30064E-02, 1.70425E-08,-1.30547E-02, 2
13,14, 4, 1.40203E-02, 1.98905E-08, 1.41034E-02, 2
 4, 4, 1,-3.95186E-01, 1.52551E-05,-3.90578E-01, 3
 5, 5, 1,-6.23829E-02, 3.85645E-07,-6.21003E-02, 3
 6, 6, 1,-9.13380E-02, 8.37521E-07,-9.15162E-02, 3
 9, 9, 1,-2.39822E-01, 5.81037E-06,-2.41047E-01, 3
10,10, 1,-7.38734E-02, 5.40810E-07,-7.35398E-02, 3
13,13, 1,-1.10167E-01, 1.21682E-06,-1.10310E-01, 3
 4, 4, 2, 3.18726E-02, 1.01552E-07, 3.18673E-02, 3
 5, 5, 2,-1.31628E-02, 1.70921E-08,-1.30737E-02, 3
 6, 6, 2, 1.29554E-02, 1.69288E-08, 1.30111E-02, 3
 9, 9, 2,-1.36359E-01, 1.83982E-06,-1.35640E-01, 3
10,10, 2,-4.71777E-02, 2.24603E-07,-4.73923E-02, 3
13,13, 2,-4.66195E-02, 2.24603E-07,-4.73923E-02, 3
 5, 1, 3,-6.51117E-01, 4.20601E-05,-6.48538E-01, 3
 4, 3, 3, 1.64612E-01, 2.69547E-06, 1.64179E-01, 3
 6,12, 3, 6.64067E-02, 4.41457E-07, 6.64422E-02, 3
 7, 8, 3, 1.89722E-01, 3.68719E-06, 1.92021E-01, 3
 9,14, 3, 6.12831E-02, 3.84209E-07, 6.19846E-02, 3
10,11, 3,-5.53059E-02, 2.92889E-07,-5.41192E-02, 3
